"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
"1999-10-16T12:38:55.250Z",34.442,-116.218,-0.752,2.76,"ml",0,113.1,NA,0.147,"ci","ci9108829","2016-02-16T11:18:02.226Z","32km S of Ludlow, California","earthquake",NA,2.663,NA,36,"reviewed","ci","ci"
"1999-10-16T12:51:50.950Z",34.368,-116.132,-0.717,3.66,"ml",0,100.5,NA,0.146,"ci","ci9108876","2016-04-02T01:21:09.777Z","26km NNW of Twentynine Palms, CA","earthquake",NA,0.658,0.162,159,"reviewed","ci","ci"
"1999-10-16T12:55:09.650Z",34.505,-116.26,-1.171,4.42,"ml",37,60,NA,0.19,"ci","ci9108881","2017-02-09T15:12:44.594Z","26km SSW of Ludlow, CA","earthquake",0.28,0.88,0.185,164,"reviewed","ci","ci"
"1999-10-16T12:57:21.060Z",34.4415,-116.2525,0.838,5.37,"mw",33,64,NA,0.13,"ci","ci3320736","2020-04-16T18:16:46.145Z","32km SSW of Ludlow, California","earthquake",0.36,0.96,NA,6,"reviewed","ci","ci"
"1999-10-16T13:04:32.850Z",34.689,-116.311,0.216,3.42,"ml",0,74.8,NA,0.182,"ci","ci9108899","2016-04-02T07:47:24.884Z","14km WSW of Ludlow, CA","earthquake",NA,3.152,0.184,89,"reviewed","ci","ci"
"1999-10-16T13:05:20.550Z",34.6811667,-116.3058333,4.559,3.75,"ml",23,63,NA,0.26,"ci","ci9109241","2016-04-02T01:20:34.240Z","14km WSW of Ludlow, CA","earthquake",0.61,21.45,0.258,113,"reviewed","ci","ci"
"1999-10-16T13:09:09.010Z",34.433,-116.246,0.438,3.27,"ml",0,86.2,NA,0.131,"ci","ci9108861","2016-04-02T07:11:58.758Z","33km SSW of Ludlow, CA","earthquake",NA,1.005,NA,112,"reviewed","ci","ci"
"1999-10-16T13:09:39.370Z",34.567,-116.277,-1.162,2.5,"mh",0,232.7,0.2795,0.115,"ci","ci3322135","2016-04-02T17:36:11.641Z","20km SSW of Ludlow, CA","earthquake",NA,3.561,NA,0,"reviewed","ci","ci"
"1999-10-16T13:13:59.030Z",34.555,-116.243,-0.582,3.31,"ml",0,96.1,0.276,0.158,"ci","ci9108873","2016-04-02T13:39:15.967Z","20km SSW of Ludlow, CA","earthquake",NA,1.59,NA,22,"reviewed","ci","ci"
"1999-10-16T13:14:56.470Z",34.475,-116.221,-0.951,3.17,"ml",29,68,NA,0.17,"ci","ci9108878","2016-04-01T22:06:12.550Z","28km SSW of Ludlow, CA","earthquake",0.39,1,0.11,164,"reviewed","ci","ci"
"1999-10-16T13:22:10.530Z",34.555,-116.274,-0.071,3.93,"ml",0,59.2,NA,0.171,"ci","ci9108924","2016-04-01T21:31:22.623Z","21km SSW of Ludlow, CA","earthquake",NA,0.596,NA,160,"reviewed","ci","ci"
"1999-10-16T13:23:09.780Z",34.34,-116.137,-0.934,3.17,"ml",0,117.3,0.1868,0.169,"ci","ci3321255","2016-04-02T04:48:36.602Z","23km NNW of Twentynine Palms, CA","earthquake",NA,1.472,0.089,5,"reviewed","ci","ci"
"1999-10-16T13:23:54.840Z",34.604,-116.283,4.626,3.57,"ml",0,175.3,NA,0.268,"ci","ci9108890","2016-04-02T13:41:21.756Z","17km SW of Ludlow, CA","earthquake",NA,NA,NA,150,"reviewed","ci","ci"
"1999-10-16T13:24:58.770Z",34.5921667,-116.117,3.407,2.5,"mh",5,210,0.2987,0.16,"ci","ci10084598","2016-02-17T09:09:28.675Z","15km SSE of Ludlow, California","earthquake",2.02,31.61,NA,0,"reviewed","ci","ci"
"1999-10-16T13:25:01.560Z",34.658,-116.292,4.748,3,"mh",11,108,0.2744,0.22,"ci","ci3325055","2016-04-02T00:14:22.773Z","14km WSW of Ludlow, CA","earthquake",11.08,31.61,NA,0,"reviewed","ci","ci"
"1999-10-16T13:25:11.890Z",34.5728333,-116.285,4.333,2.8,"mh",7,212,NA,0.13,"ci","ci10084594","2016-02-16T13:41:43.328Z","20km SW of Ludlow, California","earthquake",0.86,31.61,NA,0,"reviewed","ci","ci"
"1999-10-16T13:26:11.780Z",34.519,-116.267,-1.162,3.01,"ml",0,223.4,NA,0.153,"ci","ci9108897","2016-04-02T10:31:46.981Z","24km SSW of Ludlow, CA","earthquake",NA,2.51,NA,13,"reviewed","ci","ci"
"1999-10-16T13:29:47.850Z",34.6931648,-116.3341675,4.327,2.78,"ml",0,94,NA,0.3,"ci","ci9578812","2016-02-17T04:23:28.527Z","16km W of Ludlow, California","earthquake",0.72,26.46,0.1,100,"automatic","ci","ci"
"1999-10-16T13:32:20.930Z",34.4276667,-116.214,-1.172,3.62,"ml",45,68,NA,0.25,"ci","ci9108902","2016-04-01T22:06:17.690Z","33km S of Ludlow, CA","earthquake",0.38,1.12,NA,154,"reviewed","ci","ci"
"1999-10-16T13:33:13.880Z",34.6663333,-116.2683333,4.138,2.5,"mh",9,105,0.1729,0.2,"ci","ci3320835","2016-02-16T16:08:48.605Z","12km WSW of Ludlow, California","earthquake",1.04,20.7,NA,0,"reviewed","ci","ci"
"1999-10-16T13:33:41.070Z",34.5081667,-116.2643333,2.611,2.5,"mh",9,123,0.2261,0.09,"ci","ci3320836","2016-02-16T13:41:44.537Z","26km SSW of Ludlow, California","earthquake",1.01,1.19,NA,0,"reviewed","ci","ci"
"1999-10-16T13:34:56.540Z",34.6,-116.301,-1.211,3.65,"ml",0,150.4,NA,0.198,"ci","ci9108915","2016-04-02T10:31:48.423Z","19km SW of Ludlow, CA","earthquake",NA,1.671,NA,164,"reviewed","ci","ci"
"1999-10-16T13:38:21.260Z",34.473835,-116.3371658,4.649,2.73,"ml",0,247,NA,0.17,"ci","ci9578832","2016-02-16T18:35:56.144Z","32km SSW of Ludlow, California","earthquake",1.99,18.92,0.1,100,"automatic","ci","ci"
"1999-10-16T13:41:31.000Z",34.667,-116.2866667,4.626,2.5,"mh",11,97,NA,0.24,"ci","ci3320838","2016-02-16T16:08:50.040Z","13km WSW of Ludlow, California","earthquake",1.32,21.84,NA,0,"reviewed","ci","ci"
"1999-10-16T13:47:05.160Z",34.5558319,-116.2874985,4.421,3.09,"ml",0,112,NA,0.3,"ci","ci9578856","2016-04-02T10:33:06.715Z","22km SSW of Ludlow, CA","earthquake",0.71,27.98,0.1,100,"automatic","ci","ci"
"1999-10-16T13:50:33.790Z",34.5513344,-116.3366699,4.307,3.5,"mh",0,110,NA,0.34,"ci","ci9578860","2016-04-02T10:33:08.072Z","25km SW of Ludlow, CA","earthquake",0.84,31.18,0.1,0,"automatic","ci","ci"
"1999-10-16T13:51:17.620Z",34.4505,-116.233,-1.172,4.24,"ml",45,46,NA,0.18,"ci","ci9108964","2016-04-02T11:07:42.223Z","31km SSW of Ludlow, CA","earthquake",0.28,0.67,0.144,57,"reviewed","ci","ci"
