publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2016p858377,earthquake,2016-11-13T14:23:10.138Z,2017-07-24T06:45:53.955Z,172.9178619,-42.62359238,4.043163746,11.7521019,M,,LOCSAT,confirmed,manual,iasp91,41,27,15,0.100265995,65.75291443,0.754264049,0
2016p858392,earthquake,2016-11-13T14:30:50.596Z,2017-07-25T04:13:04.787Z,172.8288269,-42.64791489,3.590048812,11.23064423,M,,LOCSAT,confirmed,manual,iasp91,35,20,12,0.057245601,95.32007813,0.656615941,0
2016p858395,earthquake,2016-11-13T14:33:16.231Z,2017-07-25T06:11:43.158Z,172.9423981,-42.37130356,4.333875762,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,11,6,0.34600842,121.4255562,0.979940317,0
2016p858402,earthquake,2016-11-13T14:36:12.317Z,2017-07-25T06:27:13.075Z,173.1420135,-42.51038361,4.052172478,13.43012619,M,,LOCSAT,confirmed,manual,iasp91,41,25,15,0.127080888,89.79120636,1.163869892,0
2016p858406,earthquake,2016-11-13T14:39:14.759Z,2017-07-26T01:42:59.346Z,173.3300476,-42.51951218,3.72597635,9.403564453,M,,LOCSAT,confirmed,manual,iasp91,21,12,9,0.1860158,146.15905,0.961317788,0
2016p858413,earthquake,2016-11-13T14:42:47.469Z,2017-07-26T03:14:55.713Z,173.7122498,-42.24972534,4.697002062,2,M,operator assigned,LOCSAT,confirmed,manual,iasp91,32,18,80,0.177384213,132.6647644,1.25011397,0
2016p858417,earthquake,2016-11-13T14:44:52.445Z,2017-07-26T03:38:20.235Z,173.7014008,-42.29946518,4.018802084,18.91315651,M,,LOCSAT,confirmed,manual,iasp91,33,22,22,0.127071053,131.2989159,1.003000988,0
2016p858422,earthquake,2016-11-13T14:47:41.842Z,2017-07-26T05:11:10.973Z,173.4748077,-42.33485413,4.136512594,2,M,operator assigned,LOCSAT,confirmed,manual,iasp91,35,27,14,0.093987875,104.6265297,1.178720117,0
2016p858433,earthquake,2016-11-13T14:53:39.679Z,2017-07-26T06:15:11.606Z,173.2804718,-42.49088669,4.085784529,14.94375706,M,,LOCSAT,confirmed,manual,iasp91,55,34,18,0.205434427,102.9388885,1.118075082,0
2016p858453,earthquake,2016-11-13T15:04:06.146Z,2017-07-27T05:20:06.639Z,172.8406525,-42.62972641,4.101720425,5.182118893,M,,LOCSAT,confirmed,manual,iasp91,65,46,13,0.077371359,182.2868042,0.689942016,0
2016p858455,earthquake,2016-11-13T15:05:09.028Z,2017-07-27T05:30:11.925Z,173.8777466,-42.24398422,4.670729858,9.184181213,M,,LOCSAT,confirmed,manual,iasp91,37,25,16,0.232500151,163.9953957,0.838696029,0
2016p858464,earthquake,2016-11-13T15:09:44.789Z,2017-07-27T05:45:55.863Z,173.6821594,-42.13661575,4.691920578,10.45599937,M,,LOCSAT,confirmed,manual,iasp91,18,15,10,0.289005548,121.0478134,0.898014949,0
2016p858489,earthquake,2016-11-13T15:22:55.277Z,2017-07-28T03:02:12.270Z,173.1268005,-42.57426834,4.487541535,11.73967361,M,,LOCSAT,confirmed,manual,iasp91,29,17,21,0.070439264,92.79653549,0.796685423,0
2016p858503,earthquake,2016-11-13T15:30:24.604Z,2017-07-28T03:27:21.321Z,173.1677551,-42.59008408,3.852211514,12.55588531,M,,LOCSAT,confirmed,manual,iasp91,30,21,14,0.089253619,257.1729431,0.96214356,0
2016p858512,earthquake,2016-11-13T15:35:17.193Z,2017-07-28T04:06:16.773Z,174.0527496,-42.00901794,4.071459276,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,28,17,12,0.192418233,171.9735603,1.123275927,0
2016p858516,earthquake,2016-11-13T15:37:51.358Z,2017-07-31T03:12:55.841Z,173.6291046,-42.28426743,4.255004103,9.196522713,M,,LOCSAT,confirmed,manual,iasp91,48,30,20,0.14681232,107.7667656,0.869602067,0
2016p858521,earthquake,2016-11-13T15:40:07.143Z,2017-07-31T04:21:16.322Z,173.6726379,-42.12639236,4.301506658,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,57,40,13,0.286358625,117.6242943,0.757477202,0
2016p858527,earthquake,2016-11-13T15:43:19.266Z,2017-07-31T05:35:08.579Z,173.6220245,-42.25689697,4.676827067,13.57240772,M,,LOCSAT,confirmed,manual,iasp91,51,39,27,0.170491189,107.5875626,0.756016958,0
2016p858532,earthquake,2016-11-13T15:46:30.279Z,2017-08-01T03:57:42.113Z,172.7980499,-42.65474701,4.390684878,9.221668243,M,,LOCSAT,confirmed,manual,iasp91,22,14,5,0.104685664,118.6066341,0.519051106,0
2016p858549,earthquake,2016-11-13T15:54:57.469Z,2017-08-01T06:11:14.961Z,173.333252,-42.42721176,3.969541223,4.042344093,M,,LOCSAT,confirmed,manual,iasp91,17,13,6,0.152738065,111.2463989,0.78832736,0
2016p858561,earthquake,2016-11-13T16:01:44.154Z,2017-08-02T04:30:19.499Z,173.7597351,-42.4168396,4.294802769,9.462519646,M,,LOCSAT,confirmed,manual,iasp91,30,22,12,0.058159322,154.3431473,0.73442488,0
2016p858575,earthquake,2016-11-13T16:08:54.542Z,2017-08-02T05:04:35.830Z,173.2450104,-42.49449158,4.105974779,12.36537266,M,,LOCSAT,confirmed,manual,iasp91,42,28,17,0.188681096,97.89034271,0.772428869,0
2016p858581,earthquake,2016-11-13T16:12:21.869Z,2017-08-03T03:26:14.008Z,173.9616852,-42.00492477,3.971856207,4.462650299,M,,LOCSAT,confirmed,manual,iasp91,29,17,13,0.051352497,189.055851,0.566587963,0
2016p858583,earthquake,2016-11-13T16:13:24.500Z,2017-08-03T03:57:14.774Z,173.9217834,-42.40579987,3.824759668,14.81206036,M,,LOCSAT,confirmed,manual,iasp91,19,12,8,0.178592399,169.645359,1.134710854,0
2016p858612,earthquake,2016-11-13T16:28:40.189Z,2017-08-03T21:39:10.981Z,173.0496979,-42.61572647,3.136459979,11.17792988,M,,LOCSAT,confirmed,manual,iasp91,28,16,6,0.00470354,187.2394867,0.813797952,0
