time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1992-04-23T06:59:15.580Z,33.9746667,-116.3273333,2.635,3.11,mc,17,111,0.05891,0.41,ci,ci3017179,2016-04-01T19:45:33.925Z,"16km E of Desert Hot Springs, CA",earthquake,0.99,0.86,NA,42,reviewed,ci,ci
1992-04-23T07:02:14.060Z,33.964,-116.3281667,1.389,2.94,mc,37,62,NA,0.3,ci,ci3017180,2016-04-02T15:06:46.488Z,"16km E of Desert Hot Springs, CA",earthquake,0.5,1.02,NA,38,reviewed,ci,ci
1992-04-23T07:02:50.760Z,34,-116.329,5.199,2.7,mh,0,79.5,NA,0.226,ci,ci3018192,2016-04-02T08:38:31.593Z,"15km S of Joshua Tree, CA",earthquake,NA,4.025,NA,0,reviewed,ci,ci
1992-04-23T07:03:04.480Z,33.9433333,-116.3281667,5.362,3,mc,24,69,NA,0.23,ci,ci3018193,2016-04-02T02:14:49.201Z,"15km NNE of Thousand Palms, CA",earthquake,0.54,1.26,NA,32,reviewed,ci,ci
1992-04-23T07:03:50.110Z,33.999,-116.335,10.646,2.52,mc,0,158.3,NA,0.155,ci,ci3018194,2016-02-10T14:06:03.527Z,"15km S of Joshua Tree, California",earthquake,NA,0.882,NA,9,reviewed,ci,ci
1992-04-23T07:04:04.550Z,34.011,-116.3221667,4.904,3.11,mc,24,81,0.08887,0.21,ci,ci3017181,2016-04-02T18:14:50.342Z,"14km S of Joshua Tree, CA",earthquake,0.49,10.28,NA,42,reviewed,ci,ci
1992-04-23T07:06:03.270Z,34.006,-116.322,3.129,2.86,mc,0,77.4,NA,0.224,ci,ci3017182,2016-02-10T07:02:47.440Z,"14km S of Joshua Tree, California",earthquake,NA,0.458,NA,41,reviewed,ci,ci
1992-04-23T07:19:36.190Z,33.97,-116.278,1.974,2.59,mc,0,84.1,NA,0.105,ci,ci2047740,2016-02-10T21:15:35.312Z,"19km S of Joshua Tree, California",earthquake,NA,0.623,NA,6,reviewed,ci,ci
1992-04-23T07:20:43.090Z,34.0326667,-116.3355,0.489,2.8,mh,25,84,NA,0.19,ci,ci12177183,2016-02-10T07:02:48.673Z,"12km S of Joshua Tree, California",earthquake,0.53,0.94,NA,0,reviewed,ci,ci
1992-04-23T07:20:48.830Z,33.9376667,-116.3198333,5.305,3.5,mh,19,71,NA,0.24,ci,ci12177179,2016-02-10T03:29:59.334Z,"15km NNE of Thousand Palms, California",earthquake,0.65,1.51,NA,0,reviewed,ci,ci
1992-04-23T07:21:34.800Z,33.95,-116.351,4.289,3.48,mc,0,67.6,NA,0.182,ci,ci3019086,2016-02-10T03:30:00.613Z,"14km E of Desert Hot Springs, California",earthquake,NA,0.106,NA,27,reviewed,ci,ci
1992-04-23T07:21:44.970Z,33.9655,-116.2963333,1.955,3.5,mh,12,90,NA,0.37,ci,ci12177175,2016-02-10T14:06:05.519Z,"18km NNE of Thousand Palms, California",earthquake,0.94,1.22,NA,0,reviewed,ci,ci
1992-04-23T07:22:48.620Z,33.9595,-116.2996667,0.679,2.84,mc,49,64,NA,0.25,ci,ci3019095,2016-04-02T02:14:56.292Z,"18km NNE of Thousand Palms, CA",earthquake,0.41,0.85,NA,47,reviewed,ci,ci
1992-04-23T07:39:26.140Z,34.0418333,-116.3285,1.479,2.69,mc,10,93,NA,0.11,ci,ci3019121,2016-04-02T18:12:52.314Z,"10km S of Joshua Tree, CA",earthquake,0.5,1.05,NA,11,reviewed,ci,ci
1992-04-23T07:40:24.090Z,34.034,-116.234,7.214,3.07,mc,0,70,NA,0.173,ci,ci2047744,2016-02-10T10:39:14.157Z,"13km SSE of Joshua Tree, California",earthquake,NA,1.139,NA,43,reviewed,ci,ci
1992-04-23T07:43:01.160Z,33.967,-116.326,7.699,2.97,mc,0,68.2,NA,0.181,ci,ci2047745,2016-02-10T03:30:03.280Z,"16km E of Desert Hot Springs, California",earthquake,NA,0.543,NA,40,reviewed,ci,ci
1992-04-23T07:44:37.660Z,33.9515,-116.3493333,4.409,2.87,mc,40,66,NA,0.21,ci,ci2047747,2016-04-02T18:12:53.686Z,"14km E of Desert Hot Springs, CA",earthquake,0.42,0.59,NA,42,reviewed,ci,ci
1992-04-23T07:45:07.710Z,33.946,-116.308,2.489,2.6,mc,0,72.4,NA,0.183,ci,ci3019144,2016-02-09T23:52:27.450Z,"16km NNE of Thousand Palms, California",earthquake,NA,0.204,NA,9,reviewed,ci,ci
1992-04-23T07:46:49.160Z,33.982,-116.331,7.228,2.98,mc,0,140.2,NA,0.183,ci,ci2047748,2016-02-10T10:39:16.143Z,"16km E of Desert Hot Springs, California",earthquake,NA,1.079,NA,95,reviewed,ci,ci
1992-04-23T07:47:11.850Z,33.996,-116.326,4.881,3.36,mc,0,63.7,NA,0.223,ci,ci3019115,2016-02-10T21:15:41.354Z,"16km S of Joshua Tree, California",earthquake,NA,3.963,NA,95,reviewed,ci,ci
1992-04-23T07:49:25.130Z,34.0148333,-116.332,2.881,2.92,mc,45,63,NA,0.25,ci,ci2047749,2016-04-02T18:12:55.061Z,"13km S of Joshua Tree, CA",earthquake,0.54,0.9,NA,78,reviewed,ci,ci
1992-04-23T07:49:39.780Z,33.9861667,-116.3248333,1.611,3.14,mc,13,83,NA,0.21,ci,ci3019164,2016-04-02T02:14:58.090Z,"16km E of Desert Hot Springs, CA",earthquake,0.49,0.77,NA,69,reviewed,ci,ci
1992-04-23T07:52:33.550Z,34.037,-116.326,3.419,2.88,mc,0,77.1,NA,0.152,ci,ci2047750,2016-02-10T03:30:07.761Z,"11km S of Joshua Tree, California",earthquake,NA,0.262,NA,25,reviewed,ci,ci
1992-04-23T07:55:33.000Z,33.93,-116.33,6,3.1,md,NA,NA,NA,NA,us,usp000567g,2014-11-07T00:50:28.934Z,"4 km NNE of Sky Valley, California",earthquake,NA,NA,NA,NA,reviewed,pas,pas
1992-04-23T08:16:51.910Z,33.942,-116.25,10,2.8,md,NA,NA,NA,0.4,us,usp000567j,2014-11-07T00:50:28.937Z,"11 km ENE of Sky Valley, California",earthquake,NA,NA,NA,NA,reviewed,us,pas
1992-04-23T08:26:01.030Z,33.996,-116.321,10,2.8,md,NA,NA,NA,1.1,us,usp000567k,2014-11-07T00:50:28.938Z,"12 km NNE of Sky Valley, California",earthquake,NA,NA,NA,NA,reviewed,us,pas
1992-04-23T08:30:02.860Z,34.0231667,-116.3371667,2.631,2.63,mc,14,87,NA,0.18,ci,ci2047759,2016-04-01T22:58:19.192Z,"13km S of Joshua Tree, CA",earthquake,0.42,0.77,NA,8,reviewed,ci,ci
1992-04-23T08:33:41.110Z,34.0336667,-116.3295,-0.271,3.89,mc,60,60,NA,0.27,ci,ci2047761,2016-04-02T05:28:42.537Z,"11km S of Joshua Tree, CA",earthquake,0.43,0.99,NA,59,reviewed,ci,ci
1992-04-23T08:40:15.820Z,34.0435,-116.3286667,-0.191,2.88,mc,12,89,NA,0.2,ci,ci2047762,2016-04-02T08:38:43.826Z,"10km S of Joshua Tree, CA",earthquake,0.49,1.2,NA,70,reviewed,ci,ci
1992-04-23T08:40:25.210Z,33.961,-116.307,0.483,3.22,mc,32,72,NA,0.15,ci,ci3028644,2016-04-01T22:59:02.908Z,"18km NNE of Thousand Palms, CA",earthquake,0.32,0.63,NA,72,reviewed,ci,ci
1992-04-23T08:44:29.910Z,33.9413333,-116.31,-0.251,3.3,mc,48,62,NA,0.28,ci,ci2047763,2016-04-02T02:15:02.269Z,"15km NNE of Thousand Palms, CA",earthquake,0.45,1.11,NA,89,reviewed,ci,ci
1992-04-23T08:45:13.770Z,33.9465,-116.3178333,3.719,3,mc,26,149,NA,0.22,ci,ci3028655,2016-04-02T02:15:38.733Z,"16km NNE of Thousand Palms, CA",earthquake,0.47,0.51,NA,29,reviewed,ci,ci
1992-04-23T08:47:04.220Z,34.033,-116.31,-0.101,3.37,mc,0,95.9,0.1128,0.202,ci,ci3119894,2016-02-10T03:30:15.626Z,"11km S of Joshua Tree, California",earthquake,NA,1.889,NA,77,reviewed,ci,ci
1992-04-23T08:47:20.370Z,34.042,-116.332,0.019,3.64,mc,0,70.1,NA,0.219,ci,ci3119895,2016-02-10T14:06:11.126Z,"10km S of Joshua Tree, California",earthquake,NA,0.692,NA,56,reviewed,ci,ci
1992-04-23T08:48:54.100Z,34.027,-116.322,0.591,2.71,mc,0,80.2,0.1025,0.172,ci,ci3122436,2016-02-10T14:06:13.332Z,"12km S of Joshua Tree, California",earthquake,NA,0.6,NA,9,reviewed,ci,ci
1992-04-23T08:49:01.960Z,33.954,-116.319,2.979,2.55,mc,0,73.1,NA,0.235,ci,ci3122445,2016-02-10T17:37:05.526Z,"16km NNE of Thousand Palms, California",earthquake,NA,0.437,NA,8,reviewed,ci,ci
1992-04-23T08:50:33.480Z,33.935,-116.322,5.448,2.52,mc,0,85.6,NA,0.232,ci,ci2047766,2016-02-10T07:02:56.297Z,"14km NNE of Thousand Palms, California",earthquake,NA,NA,NA,50,reviewed,ci,ci
1992-04-23T08:50:39.460Z,33.988,-116.324,5.217,2.55,mc,0,199.5,0.07,0.071,ci,ci3119209,2016-02-10T17:37:06.767Z,"16km S of Joshua Tree, California",earthquake,NA,NA,NA,44,reviewed,ci,ci
1992-04-23T08:50:45.330Z,33.992,-116.331,-0.571,2.85,mc,0,80,NA,0.182,ci,ci3119213,2016-02-10T21:15:45.538Z,"16km S of Joshua Tree, California",earthquake,NA,1.154,NA,52,reviewed,ci,ci
1992-04-23T08:53:54.400Z,33.98,-116.267,4.174,2.77,mc,0,107.6,0.0743,0.11,ci,ci2121480,2016-02-10T17:37:10.550Z,"18km SSE of Joshua Tree, California",earthquake,NA,0.51,NA,61,reviewed,ci,ci
1992-04-23T08:53:56.860Z,33.988,-116.279,0.177,2.74,mc,0,65.7,NA,0.191,ci,ci2047767,2016-02-09T23:52:35.904Z,"17km S of Joshua Tree, California",earthquake,NA,0.594,NA,61,reviewed,ci,ci
1992-04-23T09:00:41.870Z,34.022,-116.326,3.731,2.67,mc,0,62.8,NA,0.179,ci,ci2047768,2016-02-09T20:04:46.690Z,"13km S of Joshua Tree, California",earthquake,NA,0.289,NA,57,reviewed,ci,ci
1992-04-23T09:06:25.910Z,34.048,-116.327,4.849,2.5,mc,0,81.8,NA,0.175,ci,ci2047769,2016-02-10T14:06:21.997Z,"10km S of Joshua Tree, California",earthquake,NA,16.181,NA,44,reviewed,ci,ci
1992-04-23T09:07:14.490Z,33.99,-116.277,2.384,2.73,mc,0,65.9,NA,0.204,ci,ci2047771,2016-02-10T10:39:26.461Z,"16km SSE of Joshua Tree, California",earthquake,NA,0.265,NA,55,reviewed,ci,ci
1992-04-23T09:10:49.820Z,34.011,-116.325,3.121,2.53,mc,0,103.1,0.08757,0.161,ci,ci3122715,2016-02-10T03:30:23.515Z,"14km S of Joshua Tree, California",earthquake,NA,0.925,NA,15,reviewed,ci,ci
1992-04-23T09:11:41.150Z,33.938,-116.321,8.729,3.53,mc,0,57.2,NA,0.168,ci,ci3120066,2016-02-10T17:37:14.436Z,"15km NNE of Thousand Palms, California",earthquake,NA,0.513,NA,78,reviewed,ci,ci
1992-04-23T09:12:58.850Z,34.008,-116.319,3.131,2.92,mc,0,80.9,NA,0.191,ci,ci3122441,2016-02-09T23:52:38.451Z,"14km S of Joshua Tree, California",earthquake,NA,0.24,NA,39,reviewed,ci,ci
1992-04-23T09:14:21.810Z,34.034,-116.323,7.863,2.5,mc,0,61.6,NA,0.212,ci,ci3122618,2016-02-10T14:06:24.960Z,"11km S of Joshua Tree, California",earthquake,NA,0.854,NA,50,reviewed,ci,ci
1992-04-23T09:16:34.080Z,34.025,-116.329,0.621,2.9,mc,0,84.9,NA,0.185,ci,ci3120067,2016-02-10T14:06:26.370Z,"12km S of Joshua Tree, California",earthquake,NA,0.416,NA,69,reviewed,ci,ci
1992-04-23T09:17:53.710Z,34.03,-116.319,2.719,2.59,mc,0,63,NA,0.188,ci,ci2047775,2016-02-09T20:04:51.516Z,"12km S of Joshua Tree, California",earthquake,NA,0.32,NA,45,reviewed,ci,ci
1992-04-23T09:20:45.070Z,33.984,-116.31,-0.652,2.51,mc,0,160.6,0.07598,0.275,ci,ci3122716,2016-02-10T21:15:50.859Z,"17km S of Joshua Tree, California",earthquake,NA,1.473,NA,27,reviewed,ci,ci
1992-04-23T09:21:07.940Z,33.941,-116.309,0.849,2.56,mc,0,62.8,NA,0.206,ci,ci3122717,2016-02-09T23:52:41.849Z,"15km NNE of Thousand Palms, California",earthquake,NA,0.355,NA,38,reviewed,ci,ci
